Instrument,Price Close,"Free Operating Cash Flow, Discrete",Total Debt,"PERCENT_CHG(TR.PriceClose(SDate=2023-08-31),lag=-10D)",Total Common Shares Outstanding,Cash and Equivalents,Net Income Reported - Actual,EBITDA - Mean,Interest Expense - Actual,Short Interest,"PERCENT_CHG(TR.Volume(SDate=2023-08-31),lag=-10D)",Current Assets,Noncurrent Asset,Current Liabilities,"ZAV(TR.PtoDPSMeanEst(SDate=2023-08-31,Period=FQ1))","ZAV(TR.PtoEPSMeanEst(SDate=2023-08-31,Period=FQ1))",Book Value Percentage of Market Capitalization (O/S),1 Month Total Return,Company Market Cap
FN.N,160.77,151039000.0,12156000,38.3205712810806,36183680,401000,247913000,81550000,1472000,563589.0,128.18041131393,1652540000.0,327108000.0,481885000.0,0.0,86.6684636118598,31.1535080752749,30.030734390165,5818402472.19
TGLS.N,38.97,57724000.0,169484000,18.6301369863014,47674770,103671000,155743000,76677170,8156000,888405.0,38.2195317608515,432134000.0,302174000.0,209802000.0,487.125,40.1132269686052,23.77854340457,-17.2259983007646,1857833684.01
HPP.N,6.81,-209825000.0,4651998000,16.4102564102564,141054480,255761000,-56499000,108682500,149901000,15228399.0,-0.486074977283412,,,,56.75,0.0,210.045056132761,16.0136286201022,959785750.62
ENV.N,54.63,-3288000.0,916655000,4.13648494090736,54013830,162173000,-80939000,65498670,10897000,4031794.0,129.414856519058,305232000.0,1806933000.0,327064000.0,0.0,101.435282321704,22.1045818581469,-11.8586640851888,2979202308.03
PLOW.N,30.27,957000.0,206436000,-1.75267770204479,22886790,20670000,38609000,24033330,11253000,175086.0,124.469820554649,252921000.0,343970000.0,100431000.0,0.0,63.9511545855957,28.6498171075484,-2.51207729468598,695724620.55
GDOT.N,14.84,193360000.0,3485433000,-5.65797838525112,51674000,813945000,64212000,26755380,255000,1721117.0,110.977459069062,1465832000.0,3323344000.0,3961671000.0,0.0,68.3178344535494,93.9687289031407,-24.0920716112532,776821792.88
ZWS.N,29.62,56900000.0,535900000,3.24154757755315,176876410,124800000,61700000,94700000,26900000,4341216.0,-0.644305798752189,757500000.0,2106500000.0,289300000.0,423.142857142857,107.987896022458,42.9480636990469,-2.45640905616205,5122712591.96
MRC.N,9.32,-55000000.0,340000000,2.08105147864183,83648090,,51000000,71133330,24000000,1671859.0,-11.4849533353183,1142000000.0,753000000.0,564000000.0,0.0,26.1305969103093,39.8683170220287,-17.4490699734278,782990460.64
FAF.N,61.68,303000000.0,2012000000,0.949263502454989,103200000,1224000000,263000000,227800000,93000000,1435437.0,241.940454987558,,,,117.485714285714,48.8748019017433,86.0800637361111,-2.68223414326284,6358371619.2
SIX.N,22.96,152572000.0,2382442000,8.86676149834045,83178290,80122000,108928000,249039000,141590000,5440858.0,-18.7185975387752,240790000.0,2425035000.0,434309000.0,0.0,15.3111579396623,,-3.93305439330538,1917612128.32
VPG.N,36.02,11741000.0,60799000,2.41683252772249,13569260,88562000,36063000,14983000,2269000,57738.0,262.822520814442,251806000.0,224936000.0,64336000.0,0.0,61.5726495726496,58.4319717414051,-3.71558406843083,490021086.78
QUAD.N,5.11,92900000.0,570200000,-16.5032679738562,52700000,25200000,,55000000,,1693964.0,-32.2815678344138,704500000.0,997300000.0,795400000.0,0.0,102.2,80.4326400944845,-13.6824324324324,263236064.77
BWXT.N,73.76,-34682000.0,1288874000,3.90195802225667,91254280,35244000,238600000,108816670,36410000,2041584.0,-11.6229834441292,771619000.0,1847320000.0,367860000.0,320.695652173913,117.133283574979,14.1238787437042,7.23870936695463,6746550157.44
KKR.N,62.81,-5877656000.0,42885531000,6.18765849535081,861110480,12823556000,-910130000,937000000,565304000,13576911.0,146.256037112354,,,,275.325472318415,77.3598384077249,44.2600202828569,6.07147063450037,53870871755.36
AMRC.N,43.49,-666187000.0,900114000,-6.61369980674254,51948360,115534000,94926000,56311910,26423000,3519656.0,-53.1150318396915,1001351000.0,1875470000.0,812068000.0,0.0,89.4193601447488,27.7789708903461,-25.2877512454905,2270211052.4
BBN.N,16.03,160695580.0,567037560,2.55918106206014,61786580,8064000,,,,93741.0,1.67103912398768,,,,0.0,0.0,104.147948858262,-1.74491432206925,990533999.42
STAG.N,36.53,-463631000.0,2498780000,5.00143719459615,179248980,25884000,178089000,129384600,74271000,3369448.0,56.9152273012421,,,,98.2861140258832,202.944444444444,58.4549505185085,0.968780568550676,6563137573.07
INN.N,5.81,-145505000.0,1451796000,5.2536231884058,106901580,51255000,-16929000,45653250,65581000,5742170.0,47.1769125865711,,,,96.8333333333333,0.0,124.348706815398,-8.81943369952034,625020847.78
GM.N,33.51,-5541000000.0,114699000000,1.79222357229647,1400000000,19153000000,8915000000,4534666670,4408000000,31388625.0,-15.3484357196251,100451000000.0,163586000000.0,91173000000.0001,316.132075471698,17.481076512966,141.847295964835,-12.4315871774824,46106586368.43
EFC.N,13.37,-80601000.0,12404614000,4.04669260700389,63812220,217053000,-85339000,,133510000,5283173.0,69.772339384987,,,,29.7111111111111,32.609756097561,129.547751733048,0.001662123529056,909388680.48
BAH.N,113.31,290966000.0,2812145000,-1.38381201044387,131637590,404862000,271791000,296252670,119850000,1960371.0,1.21433983516563,2288058000.0,4262594000.0,1897054000.0,241.085106382979,84.1940229748406,8.09094090380672,-6.05707533281369,14848525161.18
TRGP.N,86.25,461600000.0,11536400000,2.93591120658789,226042230,219000000,896800000,871260230,446100000,3557650.0,82.3325473376789,2356600000.0,17203400000.0,3066700000.0,172.5,66.6795516041747,16.0211883860344,5.19575557994871,19295184495.0
AAT.N,21.41,-78123000.0,1648088000,2.68585131894484,60718650,49571000,43506000,61368330,58232000,1521024.0,90.9413317204597,,,,64.8787878787879,0.0,76.138950796854,-4.84444444444447,1300114328.3
GBAB.N,15.48,,,1.77514792899408,,,,,,18760.0,202.030800473853,,,,0.0,0.0,,-6.33299517496344,351009619.2
TAL.N,7.05,-102968000.0,0,4.28994082840237,216265670,2021927000,-135612000,21920000,0,29296373.0,183.529240060146,3468407000.0,1255947000.0,783865000.0,0.0,117.5,85.8601369754763,-13.8141809290954,4501304078.4
LYB.N,98.77,983000000.0,11321000000,1.88776562822364,325723570,2151000000,3889000000,1214041570,258000000,4975321.0,129.594898993335,11845000000.0,24520000000.0,6760000000.0,79.4929577464789,54.744181663997,46.6589791350077,1.20298561407535,32020958135.39
NOAH.N,13.91,570191000.0,0,8.24902723735409,31655480,4403915000,141587000,,,576144.0,74.5865508898684,6317146000.0,5480989000.0,1904961000.0,0.0,0.0,140.535253327757,-8.6070959264126,878248355.92
CMRE.N,10.31,400150000.0,2584621000,-4.80147737765466,122301710,718049000,523887000,160388500,122200000,2495058.0,-17.5340539590474,1014622000.0,3881607000.0,423090000.0,85.9166666666667,15.6925418569254,184.795840537308,-7.69919427036707,1212892886.25
BKU.N,26.25,1214378000.0,910923000,0.961538461538462,75674590,,279270000,,317491000,5816118.0,1.40671343157102,,,,98.0282321308537,36.5461455998441,92.8040276601762,-12.0308310991957,1953393697.5
HHC.N,78.65,-84563000.0,4747183000,4.11702409319566,49802000,626653000,184533000,77442000,110891000,1695717.0,46.4733848885144,,,,0.0,0.0,92.8430305006378,-6.84590785265902,3940591118.75
FLT.N,271.73,603369000.0,7036894000,3.70978206938668,73356710,1435163000,954327000,546305550,164662000,1042069.0,83.9813386798273,6106152000.0,7983108000.0,6043455000.0,0.0,60.1846314679708,18.7607896260924,9.16797235948739,20096448106.22
DQ.N,36.97,1212134000.0,20687000,3.81915192361696,391023330,3499488000,1859958000,174250000,,3445814.0,75.4252008662936,4889163000.0,2704933000.0,736542000.0,0.0,39.3297872340425,159.211937388026,-5.37496800614283,2891226465.05
RFP.N,21.92,457000000.0,302000000,0,76800000,112000000,,,,,NaN,989000000.0,2549000000.0,431000000.0,0.0,0.0,127.485643685676,NaN,1689939979.84
WD.N,85.34,1480564000.0,1247550000,1.78912213740458,32396000,225949000,213820000,83125000,34233000,1255734.0,-8.66324267071684,,,,135.460317460317,73.2532188841202,65.2089585333797,-5.49691240832152,2845635161.88
KMI.N,17.22,842000000.0,31788000000,-0.692041522491355,2247681630,745000000,2548000000,1856470000,1513000000,37916311.0,211.502813797235,3803000000.0,66275000000.0,6930000000.0,60.5144784931122,66.4864864864865,75.6462176129763,-2.76679841897234,38369007619.74
UAN.N,74.81,52006000.0,546800000,-6.77881619937694,10569640,86339000,,,,212474.0,-41.6753201799931,265704000.0,834698000.0,126057000.0,0.0,0.0,38.7370228169719,-15.6631583570695,790714543.97
HCA.N,277.3,3474000000.0,38084000000,4.40118971424269,277378300,908000000,5643000000,2992043180,1741000000,2275185.0,11.8676297753773,13643000000.0,38795000000.0,9902000000.0,468.673415924417,67.2048548418759,,1.64583409699062,75422272400.0
NLSN.N,27.98,239000000.0,5626000000,0,359267540,380000000,963000000,,280000000,,NaN,1140000000.0,9680000000.0,657000000.0,0.0,0.0,44.9747615550947,NaN,10069559440.34
AGRO.N,11.48,104804000.0,1345732000,21.8683651804671,108191220,,108138000,,137600000,1518601.0,11.9487044279416,1023022000.0,2085833000.0,610853000.0,0.0,0.0,124.109897521563,3.42342342342341,1230545550.92
KOS.N,7.28,320446000.0,2225911000,-0.410396716826257,455898150,183405000,226551000,282407000,118260000,25171518.0,43.9804256281421,468721000.0,4111267000.0,574254000.0,0.0,44.6625766871166,27.1720196551153,2.53521126760563,3349596410.16
ESTE.N,20.38,-998903000.0,1055557000,29.8916507329509,139806780,,452485000,289647000,66821000,6487173.0,4.30287286147055,246265000.0,3691136000.0,376284000.0,0.0,28.7784006665066,82.4759785323683,27.5344180225282,2865197624.48
ACP.N,7.0,,,1.01010101010101,,,,,,144403.0,-10.0239135812649,,,,0.0,0.0,,3.21235611933288,364528920.0
RLJ.N,9.99,34472000.0,2217555000,4.06250000000001,162003530,481316000,16810000,91100750,87188000,13431747.0,73.224922226166,,,,105.157894736842,230.55619663051,119.320943654493,-3.0097087378641,1573221074.13
THR.N,27.48,48261000.0,112590000,9.74440894568691,33508080,35635000,33666000,21457500,5871000,321959.0,-5.94827835857635,250942000.0,398687000.0,110072000.0,0.0,79.6521739130435,50.1769263995455,-0.470843897138773,925724503.32
NGL.N,3.78,297421000.0,2858005000,-1.30548302872063,131927340,5431000,-73232000,160087500,275445000,2252533.0,3.30592494839779,1292445000.0,4163699000.0,1110137000.0,0.0,0.0,105.705898712649,-12.093023255814,498685356.54
MX.N,8.22,-18619000.0,153000,-1.4388489208633,43824580,225477000,-8036000,-3950000,1157000,677952.0,27.6000431841082,337853000.0,178792000.0,47245000.0,0.0,0.0,103.217744214676,-11.1351351351352,330933081.78
AL.N,40.76,-1864161000.0,18641063000,1.9,110892100,766418000,-138724000,607012670,492924000,1093077.0,274.833281117128,,,,203.8,36.4625266133505,155.998051575781,-3.73169579593768,4525470791.52
HII.N,220.32,290000000.0,2905000000,0.004539058599242,39900000,467000000,579000000,241067500,102000000,694622.0,-13.7133970323502,2746000000.0,8111000000.0,2895000000.0,177.677419354839,64.7499140370831,38.0338935103657,-3.52568280471277,8783630953.92
FF.N,7.08,37170000.0,0,-3.14637482900136,43763240,175640000,,,,726347.0,95.8849394152989,273776000.0,82193000.0,56098000.0,0.0,0.0,79.5401476382382,-26.5432098765432,309843760.44
APO.N,87.34,2827000000.0,6522000000,10.2777777777778,570276190,9452000000,-3213000000,1397400000,124000000,12690060.0,138.087512628616,,,,204.476284122302,48.0230493041771,18.1888046158492,7.470559838997,49512279678.84
PFLT.N,10.78,-96029000.0,672779000,3.55427473583092,45345640,47880000,3453000,,29755000,730477.0,128.552976006767,,,,34.9195037413754,35.0980009116364,121.082024839229,-3.24503534873907,633160087.56
ARCO.N,9.87,96735000.0,731022000,-0.101214574898801,204070030,266937000,144758000,117000000,43751000,1222891.0,-50.533221136508,684363000.0,1952267000.0,759412000.0,197.4,51.0526043552475,18.3817131481084,-12.6548672566372,2079164544.03
SXC.N,9.3,109800000.0,532200000,2.31023102310232,83411300,90000000,100700000,63600000,32000000,1375291.0,-18.4179508176382,374000000.0,1280600000.0,224000000.0,0.0,50.2702702702703,81.3602317954971,5.9038298388074,778932818.1
SAVE.N,16.5,-326606000.0,3547264000,-1.66372392082624,108941920,1346350000,-554150000,8966670,102883000,7911226.0,-29.8470634791313,1993983000.0,7190791000.0,1596581000.0,0.0,0.0,74.1156894570064,-9.29418905921022,1801155955.5
ALSN.N,60.45,410000000.0,2507000000,4.15230875258443,91788890,232000000,531000000,272391140,118000000,1460703.0,148.687610989995,866000000.0,3805000000.0,480000000.0,262.826086956522,35.3783937214325,22.7154439114883,3.40012400739886,5412380654.85
RM.N,27.48,201571000.0,1345847000,0.072833211944645,9523000,,51224000,31800000,34223000,216448.0,48.3048259010385,,,,91.6,32.4565651316333,114.661523741138,-14.4933958439985,270325706.4
USAC.N,21.22,-129830000.0,2108344000,4.22396856581532,98228000,35000,-18432000,126840000,138050190,644651.0,157.476592619791,186447000.0,2479277000.0,173664000.0,40.1642912573581,223.368421052632,6.07672044034846,6.57960823706685,2085468836.32
CIVI.N,82.22,594521000.0,393293000,4.06277686368813,85120290,768032000,1248080000,690700000,32199000,5214746.0,-16.45741763736,1328430000.0,6642969000.0,1177927000.0,53.0451612903226,34.5399780711888,108.994082533714,9.83168581351852,7709001958.52
UI.N,175.03,-311405000.0,1077889000,11.1231032950289,60441900,114826000,407641000,,58224000,290495.0,40.7069836186722,1167044000.0,239355000.0,351819000.0,0.0,92.1210526315789,,-1.47481001970163,10580012855.62
MPC.N,142.77,12662000000.0,26700000000,0.196505017895993,454000000,8625000000,14516000000,5145373920,1000000000,12287800.0,154.866445917238,35242000000.0,54662000000.0,20020000000.0,182.843896878962,20.6753932842986,50.8089891464195,7.89414284274819,57085734732.96
RYI.N,31.14,376200000.0,386100000,2.36686390532544,36988540,39200000,391000000,43700000,32400000,453910.0,0.33283781635954,1441600000.0,892700000.0,619200000.0,0.0,83.04,79.026106388941,-26.2703099732439,1070874487.62
ASPN.N,6.09,-272373000.0,103580000,3.04568527918781,69994960,281335000,-82738000,-10577000,5110000,5138227.0,47.0433652504635,369685000.0,273731000.0,78945000.0,0.0,0.0,57.4098663640176,-26.9784172661871,427563303.51
DPG.N,9.41,20032820.0,194851010,-1.36268343815513,38115080,,,,,38167.0,-2.89414917373828,,,,0.0,0.0,92.1479689149877,-6.46123260437377,359290173.4
TLYS.N,8.99,-16538000.0,0,2.04313280363223,29868000,73526000,10090000,-3754500,1980000,895185.0,73.9554317548747,202398000.0,273354000.0,108304000.0,0.0,0.0,68.0937631668729,3.69088811995388,268617325.31
APTV.N,101.45,356000000.0,6491000000,5.61107641057672,270949580,1531000000,531000000,730542670,219000000,3149679.0,-11.6019002293215,7784000000.0,14100000000.0,4865000000.0,5072.5,84.4536940686785,34.9098937071948,-7.3431363594849,28692523713.25
TSE.N,10.53,-152200000.0,2317600000,-10.0768573868489,35100000,211700000,-430900000,58666670,112800000,1986689.0,12.5600227454614,1390700000.0,2369500000.0,689400000.0,2106.0,0.0,52.9175942223078,-40.2383654937571,370541570.49
MMD.N,16.89,68817550.0,262110000,0.177935943060505,27908000,,,,,27711.0,-33.9604386153515,,,,0.0,0.0,100.013294357878,0.242622238134182,471472763.46
NCLH.N,16.57,-1573837000.0,13621530000,-1.25148986889154,421413570,946987000,-2269909000,740570300,608138000,30680055.0,-30.6397065326802,1872869000.0,16684825000.0,5054851000.0,0.0,23.2770488579215,1.32982717905577,-24.9207068418668,7049269035.43
SRLP.N,20.0,-134449000.0,889602000,0,26234550,669000,-68916000,,34109000,,NaN,883980000.0,534275000.0,983267000.0,0.0,0.0,,NaN,524764640.0
MTDR.N,63.5,1090399000.0,1161560000,5.18469438462813,118948620,,1214206000,460371270,67164000,9172128.0,-35.950028286678,1071832000.0,4482673000.0,575873000.0,423.333333333333,40.5831187008289,45.9934489255078,14.4425055412805,7565913875.0
LPI.N,60.29,248484000.0,1113023000,10.7254361799816,16762130,44435000,631512000,271232130,125121000,3816873.0,-12.1865468068215,245791000.0,2480323000.0,415276000.0,0.0,11.5458713312319,128.476448914052,14.2288745737021,1121206136.36
EPAM.N,258.99,382475000.0,30554000,10.821566110398,57655000,1681344000,419416000,201936130,10025000,1006447.0,33.5816744730679,2759625000.0,1249526000.0,747483000.0,0.0,101.470000548508,15.9236939356168,9.36615852371096,15011261117.25
APAM.N,38.42,44356000.0,199050000,5.40466392318244,79606060,143248000,206800000,85700000,9900000,6181112.0,0.121191035342553,,,,67.4035087719298,48.6175260993357,11.0900850042233,-5.84669653536602,3072166972.42
FBHS.N,69.02,174600000.0,2673500000,3.32335329341317,128040560,642500000,686700000,263166920,119200000,3879672.0,40.8076393824379,2460400000.0,3660500000.0,1544700000.0,300.086956521739,62.8168373151308,28.4942614574217,-2.54838966604836,8757983690.4
ACRE.N,10.35,-14650000.0,1736566000,5.18292682926829,54443980,141278000,29785000,,678000,1686644.0,35.9879287289024,,,,31.3636363636364,48.3644859813084,133.438088805524,-2.9080675422139,560310425.55
PRLB.N,29.5,40393000.0,17537000,3.54510354510355,26888430,56558000,-103462000,17886500,,732341.0,53.4666312778319,186568000.0,615600000.0,71581000.0,0.0,98.993288590604,100.773337774521,-11.0105580693816,769815303.0
BUI.N,21.23,,,-2.16589861751152,,,,,,31250.0,124.269322364148,,,,0.0,0.0,,-7.87258553557207,475998488.13
XYL.N,103.54,171000000.0,1880000000,4.04984423676013,180200000,944000000,355000000,364542860,50000000,4772109.0,138.713764899591,3012000000.0,4940000000.0,1590000000.0,313.757575757576,116.610917773198,17.5339156874252,-7.87569007920687,24935385789.12
GNE.N,15.31,70507000.0,0,0.723684210526324,25995000,98571000,11674000,,328000,686557.0,37.355201284551,227633000.0,49982000.0,99198000.0,0.0,0.0,66.7818259223817,14.7256317812138,420405649.26
VAC.N,108.69,358000000.0,5026000000,-1.62910670648927,37481080,524000000,391000000,224463330,118000000,2268098.0,-11.1179881735686,,,,162.223880597015,44.7836835599506,48.395466234749,-15.4229242860478,3963869194.17
PBF.N,46.89,3736400000.0,2028700000,-0.761904761904761,129639320,2203600000,2876800000,741841110,240700000,11095720.0,37.9098581926483,6546300000.0,7002800000.0,5200700000.0,220.658823529412,13.5691217835191,86.6644467884978,-0.734146711272976,5795382210.3
GWRE.N,86.43,-59716000.0,358216000,9.43276778931375,84084210,606303000,-180431000,40940000,19446000,2250155.0,57.1381115476695,1252703000.0,1014194000.0,337518000.0,0.0,225.624559479991,22.2844716424279,1.89813723178498,7039282274.85
LXFR.N,12.03,-6600000.0,81200000,3.61757105943152,28944000,12600000,26900000,13300000,3900000,78917.0,-27.1394515045145,201100000.0,206000000.0,110200000.0,0.0,50.125,52.2019397666672,-4.97630331753555,323875774.26
ALLY.N,27.69,2221000000.0,20161000000,2.89855072463769,299324360,,1604000000,,2857000000,9236305.0,145.163587809654,,,,89.0038892996047,34.0406176239182,144.277186739013,-9.3320235756384,8351823685.92
CPRI.N,52.49,545000000.0,1827000000,1.66569823745884,117347050,249000000,616000000,262276000,,4675137.0,-61.71646822463,1870000000.0,5425000000.0,1450000000.0,0.0,33.9420353581729,31.2777739926443,42.2107829856407,6096101991.5
POST.N,89.71,127300000.0,5957700000,2.42036762187463,58700000,586500000,756600000,302060000,317800000,2586504.0,-47.9490829166616,2223400000.0,9084600000.0,823800000.0,0.0,76.3651840817195,66.4786957198268,5.16998827667052,5491918183.83
SLCA.N,12.33,208990000.0,1056993000,-1.04333868378813,75738510,280845000,78176000,97900000,76098000,5606046.0,115.013998707812,657284000.0,1557296000.0,271950000.0,0.0,30.2948402948403,73.6172540495315,-5.22674865488086,950849478.18
ESRT.N,8.73,-57998000.0,2246137000,5.69007263922519,161129000,264434000,36442000,83235000,101206000,13401080.0,44.3184453737218,,,,227.758935559614,0.0,87.7201072584354,-2.45810055865924,1406388089.16
YELP.N,42.85,160330000.0,0,3.8284468136661,69797000,250075000,36347000,86651880,,3298855.0,-30.0796170234437,595992000.0,419930000.0,182824000.0,0.0,123.309352517986,37.2744130391705,-4.8834628190899,2944376731.6
VIPS.N,15.79,7417103000.0,2687438000,-2.71102895871843,117181690,21938653000,6298816000,1683290000,24258000,9888360.0,203.792236321068,33734433000.0,31741077000.0,28526120000.0,0.0,41.398010596713,59.4184573200359,-16.1444503451939,8554252000.65
TARO.N,39.62,11903000.0,0,6.39097744360901,37587230,154495000,25445000,,,218417.0,44.0729793089389,1336428000.0,799085000.0,385548000.0,0.0,220.111111111111,189.35981876405,8.39945280437759,1489103080.22
GMED.N,54.1,104421000.0,0,-1.60058202982902,100192380,150466000,190169000,85579600,14233000,7972999.0,7488.27782176606,983344000.0,1092782000.0,159204000.0,0.0,99.6445213931814,24.899482551557,-10.2372656379625,5434923707.7
NOW.N,588.83,2173000000.0,1486000000,8.31248620410567,202882000,1470000000,325000000,745166130,27000000,2603041.0,95.1058518804767,6654000000.0,6645000000.0,6005000000.0,0.0,230.194255601121,6.41586810443993,1.00000000000002,120121320000.0
SPLP.N,44.9999,-257771000.0,379489000,1.12337078651685,21605090,234448000,,,,4186.0,NaN,1805228000.0,1430621000.0,1649143000.0,0.0,0.0,86.34216362718,-1.31622518371671,961322018.7241
PSX.N,114.16,6826000000.0,17190000000,0.501804736332418,465843980,6133000000,11024000000,3446776820,619000000,9454443.0,-17.5906998772432,21922000000.0,54520000000.0,15889000000.0,108.72380952381,24.5101091318191,59.9574389649084,3.28576328976378,50834069860.48
JRI.N,11.17,,,0.359389038634314,,,,,,18140.0,111.479500891266,,,,0.0,0.0,,-3.21451766341633,306657594.43
SRC.N,38.61,-1389714000.0,3575309000,2.0888418826018,141231220,8770000,275166000,168471600,112212000,3641472.0,-14.1544928270517,,,,57.6268656716418,97.1320754716981,78.8134823739793,-4.26481527398952,5456803732.38
CAPL.N,19.52,51139000.0,772789000,-0.357325165900971,37937600,16054000,61970000,40435000,32100000,67303.0,193.71332774518,118406000.0,1136192000.0,175299000.0,37.1809523809524,97.6,7.0435823727436,-2.14794413800867,741188454.4
SSTK.N,42.11,77149000.0,50000000,1.10444177671069,35829000,115154000,76103000,51976330,2587000,3953202.0,29.0788995612033,215671000.0,665513000.0,383734000.0,0.0,44.7978723404255,23.6992502615639,-17.6318629434777,1519274899.2
BERY.N,65.34,876000000.0,9255000000,2.04591597688584,124200000,1410000000,766000000,546646900,286000000,2816965.0,-27.4155697182679,5164000000.0,11792000000.0,2844000000.0,254.568122491916,30.9009222038307,54.9055704931005,0.030501753850909,7716654000.0
HR.N,17.52,-1738549000.0,5424766000,3.60733293908929,380590000,60961000,40897000,201046500,137783000,12189449.0,70.4653075584547,,,,56.5161290322581,0.0,103.237796773762,-8.68064640725652,6672623960.64
BGB.N,11.05,97739310.0,313854210,-0.270758122743677,44664380,,,,,57733.0,304.127002553982,,,,0.0,0.0,114.032514251235,0.026094943843669,493541421.1
ALEX.N,18.01,-45400000.0,472200000,1.75141242937854,72500000,33300000,-50600000,,22000000,434544.0,28.7998775775661,39400000.0,1747900000.0,4500000.0,0.0,0.0,76.2707807868623,-6.19791666666668,1307976250.0
TROX.N,13.64,83000000.0,2538000000,9.03277378097523,154496920,164000000,497000000,124810570,125000000,4695618.0,54.7960591240438,1960000000.0,4346000000.0,850000000.0,85.25,174.871794871795,111.299147165465,3.58953484069129,2138571829.24
NGVC.N,12.61,-818000.0,63575000,-2.70061728395063,22690190,12039000,21365000,,2371000,56131.0,58.5495911837896,140660000.0,522448000.0,137728000.0,0.0,63.05,63.641640100056,2.07953382156072,286724427.21
SUN.N,45.96,16000000.0,3571000000,3.30411328388402,100465550,82000000,475000000,230768000,182000000,736316.0,-1.53107411343331,1983000000.0,4847000000.0,1406000000.0,54.6362339514979,36.8662115876696,26.0927500371635,2.13280002599234,3863631950.04
RH.N,365.19,230045000.0,3163320000,2.39450441609422,22045390,1508101000,528642000,142234000,151730000,3003153.0,-23.3746957740246,2512664000.0,2796625000.0,885973000.0,0.0,142.589960642219,10.5458987011385,-5.92008656001235,8053246935.09
MPLX.N,34.89,1166000000.0,20764000000,0.287438919229668,1001000000,238000000,3815000000,1529400000,925000000,17195206.0,-17.607660029162,1905000000.0,33760000000.0,2401000000.0,42.4282222465434,37.5205669487789,35.5060507746491,0.457974170868125,34932456489.63
DKL.N,41.75,-125614000.0,1661567000,6.26113514889285,43568580,7970000,159052000,95653000,82304000,181458.0,52.7834288884779,65230000.0,1614069000.0,106218000.0,40.3381642512077,44.6047008547008,,-10.1189235339381,1819722848.0
MANU.N,22.81,-60920000.0,640552000,-1.08412836079792,163062080,121223000,-115510000,39000000,85915000,4263292.0,-14.4044467176124,237162000.0,1056503000.0,494842000.0,201.242492222222,0.0,8.47397007549536,2.93321299638987,3718093024.03
EMO.N,31.38,-28842930.0,203675500,0.448143405889887,12917290,,,,,8641.0,123.584497910964,,,,0.0,0.0,118.175697889452,-0.262636136666861,401265191.58
HOUS.N,6.56,-201000000.0,3037000000,0.459418070444094,109480360,214000000,-287000000,137760000,114000000,7431805.0,-13.5439956277637,834000000.0,5549000000.0,1305000000.0,0.0,19.680196801968,252.151991363263,-21.7183770883055,724781147.36
BTT.N,20.36,5788730.0,1025975470,-0.682926829268296,70505570,,,,,36444.0,-41.9493852718746,,,,0.0,0.0,102.616624793501,-2.78178947612104,1435493425.56
NBHC.N,31.54,171757000.0,74104000,-3.63580812710051,37608520,,71274000,,17853000,481751.0,17.763534168228,,,,125.15873015873,36.5808397123637,69.0571919489647,-7.45386784021827,1189689872.36
BGH.N,13.19,,,0.650537541899251,,,,,,11766.0,28.2535708188699,,,,0.0,0.0,,0.624078597586464,264648288.47
NID.N,13.0,5391370.0,27950000,0,46924070,115000,,,,,NaN,,,,0.0,0.0,100.85822727902,NaN,610012897.0
HY.N,45.67,-10000000.0,552900000,0.705622932745315,16938520,59000000,-74100000,,27800000,333403.0,-24.624466346914,1458700000.0,567500000.0,1342900000.0,0.0,0.0,47.6774932403033,-3.69556113902849,784486423.27
SCM.N,13.91,-82880660.0,604130170,-0.215208034433281,19666770,48043330,14492000,,22600000,249976.0,72.3280423280423,,,,34.775,29.5957446808511,106.403878639008,-6.62826719081732,313780444.64
BFAM.N,94.42,117915000.0,1061581000,3.97533311309327,57531130,36224000,80641000,99439170,39486000,1854733.0,-3.43492735296395,347710000.0,3451159000.0,786294000.0,0.0,115.881197839961,29.649979951967,-2.68988972482737,5464708383.16
WES.N,26.69,478443000.0,6785362000,-0.9647495361781,384070980,286656000,1189562000,501323700,333939000,5261308.0,-31.7592203908453,900425000.0,10371203000.0,903857000.0,48.8827838827839,40.3843244061129,28.7423527237559,-5.5889635656173,10265363967.59
BCC.N,109.37,767538000.0,474414000,5.39655006263854,39460000,998344000,857658000,207294800,23085000,773490.0,65.0082180160119,2064052000.0,1176462000.0,545828000.0,0.0,32.3149652829074,75.9715979963439,5.87496376461489,4329939160.25
GHY.N,11.22,143411070.0,89000000,1.26353790613719,40923880,,,,,79412.0,78.8916209570645,,,,0.0,0.0,109.140539897206,-0.490646254539384,459165922.38
ARDC.N,12.76,48142000.0,189353000,0.078431372549018,22915000,800000,,,,27234.0,32.9302218645821,,,,0.0,0.0,115.523532309919,1.12427782699045,292394621.64
FEI.N,8.12,-9703680.0,107000000,1.3732833957553,45228900,2644130,,,,16328.0,-38.4033655531627,,,,0.0,0.0,92.0286135300636,-0.121495693384688,367258700.48
ORC.N,9.59,195878000.0,3378445000,1.16033755274261,36764980,205651000,-258453000,,,1693944.0,25.5127614004819,,,,19.9791666666667,0.0,125.027507551947,-6.4331380659542,451561711.93
ABBV.N,146.96,14205000000.0,63271000000,-2.03972803626183,1769181290,9201000000,11836000000,6651066000,2044000000,13259308.0,23.406507803328,28463000000.0,110342000000.0,29538000000.0,97.9733333333333,51.2829460475212,6.03700153119373,-1.75157106565043,259391260092.8
