Instrument,Price Close,"Free Operating Cash Flow, Discrete",Total Debt,"PERCENT_CHG(TR.PriceClose(SDate=2023-08-31),lag=-10D)",Total Common Shares Outstanding,Cash and Equivalents,Net Income Reported - Actual,EBITDA - Mean,Interest Expense - Actual,Short Interest,"PERCENT_CHG(TR.Volume(SDate=2023-08-31),lag=-10D)",Current Assets,Noncurrent Asset,Current Liabilities,"ZAV(TR.PtoDPSMeanEst(SDate=2023-08-31,Period=FQ1))","ZAV(TR.PtoEPSMeanEst(SDate=2023-08-31,Period=FQ1))",Book Value Percentage of Market Capitalization (O/S),1 Month Total Return,Company Market Cap
PSMT.OQ,79.48,-25390000.0,147879000,4.41408302679979,30904830,237710000,104553000,63861000,6377000,571242.0,17.1502976190476,773579000.0,1034821000.0,579456000.0,0.0,93.5058823529412,50.6852400264912,2.86247349749607,2467776586.48
USLM.OQ,216.58,33012000.0,0,8.24129141886152,5682080,133384000,,,,15750.0,-28.7019146320042,189990000.0,177782000.0,15537000.0,0.0,0.0,40.2059840234126,5.43420362446694,1233098446.58
SPOK.OQ,14.24,-22331000.0,0,9.20245398773007,20076580,35754000,21856000,6100000,592000,421787.0,-51.2902578285306,70051000.0,174426000.0,53451000.0,0.0,79.1111111111111,106.632958164135,-0.614775029150994,284342824.8
STBA.OQ,28.33,189619000.0,69194000,-3.24453551912569,38999730,,135520000,,24968000,1009918.0,72.6563916591115,,,,89.0880503144654,31.3177094848552,88.8622321736851,-9.36708742033133,1083393536.94
USAK.OQ,31.71,22872000.0,144793000,0,8895610,,24768000,,3929000,,NaN,113008000.0,251027000.0,87200000.0,0.0,0.0,63.0662358902874,NaN,286460719.86
NSIT.OQ,160.09,27167000.0,637900000,7.54400107483541,34009000,163637000,280608000,130380000,39497000,1934976.0,11.0115281069514,3900668000.0,1211913000.0,2866407000.0,0.0,68.6492281303602,46.9021806988728,9.13491035517078,5694876287.03
NVAX.OQ,8.0,-508922000.0,549781000,8.54816824966078,86039920,1336883000,-657939000,-129680000,18408000,39803806.0,41.5503687690551,1703391000.0,555288000.0,2459944000.0,0.0,0.0,72.5853752290724,-13.7931034482758,755233480.0
NSSC.OQ,24.78,19440000.0,,-35.130890052356,36770100,35955000,36253000,9909400,903000,5816460.0,106.382111231445,131359000.0,35295000.0,19686000.0,0.0,117.218543046358,11.0022454042136,-33.6712913553896,911163003.66
NVEC.OQ,88.45,-1167590.0,0,16.1828451333246,4830830,1669900,22694460,,,181304.0,58.692628650904,30786800.0,38468370.0,1832760.0,0.0,0.0,16.7318002080273,11.6651937886631,427514318.45
NWPX.OQ,33.09,-5616000.0,97489000,4.45075757575759,9927360,3681000,31149000,17433330,3568000,89009.0,-11.5754742919989,278740000.0,322600000.0,90839000.0,0.0,40.3536585365854,95.134379575372,1.56537753222832,331369745.64
SRCE.OQ,44.69,141048000.0,229533000,-0.777087033747783,24662290,,120509000,,30347000,154664.0,100.579125455492,,,,138.217919772369,40.5046540926106,66.0072783482195,-4.71215351812372,1103301401.89
SRDX.OQ,36.82,-20593000.0,10000000,-2.64410364886304,14029000,18998000,-27274000,-1839670,598000,136765.0,-45.0141510730085,57587000.0,100772000.0,32079000.0,0.0,199.027027027027,25.4589526296999,14.8113501714999,520413880.0
SSRM.OQ,14.85,-35418000.0,404613000,3.55648535564853,206653000,655453000,199050000,163100000,19116000,5935705.0,-19.4631755953392,1376435000.0,3878222000.0,279252000.0,0.0,52.7212695707743,110.569429890802,2.46771978021978,3027479464.35
SSYS.OQ,14.7,-95157000.0,0,1.87110187110187,67086000,327837000,-28974000,10523330,229000,1400143.0,120.515054964008,700220000.0,559570000.0,210654000.0,0.0,474.193548387097,121.131496592978,-18.9189189189189,1016152141.2
SWIR.OQ,30.99,-96518000.0,9956000,0,37655040,76784000,,,,,NaN,271743000.0,275310000.0,195793000.0,0.0,0.0,41.715346640537,NaN,1194399131.946
UMBF.OQ,63.21,645808000.0,2603478000,-3.55508086664633,48319400,,431682000,,223723000,1251217.0,48.7244714048838,,,,166.342105263158,35.8740068104427,66.0982457617782,-10.9718309859155,3066914940.18
NTGR.OQ,13.18,-19489000.0,0,1.93348801237432,28907770,146500000,-68987000,,,900039.0,-17.581832697596,834291000.0,185494000.0,345971000.0,0.0,0.0,118.628035852772,-3.37243401759534,387493278.46
NTCT.OQ,28.63,146002000.0,100000000,1.48883374689826,71249050,386794000,59648000,55649000,10248000,996296.0,138.512883806453,617360000.0,2203200000.0,453607000.0,0.0,52.6935748072074,99.8318049900091,2.432915921288,2065608377.07
NUVA.OQ,39.75,29691000.0,893130000,3.56956748306409,52134000,248663000,40407000,78001670,17323000,5764901.0,16014.7042412907,865212000.0,1359293000.0,716048000.0,0.0,72.385912517755,40.4134028152275,-3.54282941033732,2084854388.25
NTRS.OQ,76.07,872200000.0,138778900000,-1.14359974009098,208427310,,1282400000,,,3705495.0,173.020636763258,,,,98.7922077922078,49.354120845255,56.2531427965434,-5.05491762356469,15746808048.67
NWBI.OQ,11.0,69643000.0,924320000,-3.25417766051011,127028850,,133666000,,28117000,9097892.0,85.815636920674,,,,55.0,44.8979591836735,84.0133053002558,-9.50749231731528,1398051677.0
SP.OQ,39.17,69600000.0,344200000,-2.73156195679166,19767290,12400000,45200000,32400000,16700000,135166.0,-20.3164418974056,196800000.0,924600000.0,343600000.0,0.0,53.6575342465753,32.2762742759402,1.87256176853063,769675262.87
SRCL.OQ,44.21,68000000.0,1509200000,1.44561725562185,92200000,56000000,56000000,103301000,75500000,1489748.0,-10.0954020628327,558700000.0,4775400000.0,621900000.0,0.0,97.2011520787987,52.6236747657451,4.04801129677572,4090382102.29
STAA.OQ,43.36,17607000.0,379000,4.15565697814076,48212000,86480000,39005000,11790710,17000,6064604.0,38.1104226136601,311723000.0,103175000.0,51716000.0,0.0,252.093023255814,14.1966412300689,-20.8325725762278,2102955317.12
NXST.OQ,162.8,1103500000.0,6951500000,3.21435364230015,36810190,204100000,971100000,275585860,336600000,2240956.0,-17.1206500975348,1614500000.0,11064400000.0,893200000.0,120.592592592593,109.445378151261,41.5296185574407,-12.0980784350891,5711446303.2
STLD.OQ,106.59,3314338000.0,3070575000,1.09066767830046,172936160,1628417000,3862674000,1000719670,91538000,6068692.0,-7.79251253036948,7638018000.0,6521966000.0,2032296000.0,247.883720930233,27.8542141944386,47.3981354257716,0.009382623381482,17656035210.33
RICK.OQ,65.28,38722000.0,202463000,0.076651847309516,9231730,35980000,46041000,24059330,11950000,286085.0,9.76966671866064,51161000.0,479577000.0,31501000.0,1088.0,52.433734939759,39.9452276212371,-6.40860215053766,614923564.8
RUTH.OQ,21.49,1954000.0,30000000,0,32010920,23002000,38621000,,1290000,,NaN,81815000.0,439991000.0,138269000.0,0.0,0.0,25.8806303242721,NaN,690536902.09
HOLX.OQ,74.74,1998500000.0,2844600000,0.999999999999993,247132000,2339500000,1302000000,291829420,94100000,4388880.0,-4.10463865162326,3862000000.0,5209200000.0,937700000.0,0.0,88.6196020773554,31.0128610448891,-5.89272223621253,18306971133.94
FRPH.OQ,56.97,-5277000.0,178557000,1.53270361789342,9459690,177497000,,,,72263.0,-1.51708492839926,,,,0.0,0.0,79.9496954917541,-0.697228516646309,540968490.81
INTU.OQ,541.81,3897000000.0,6120000000,11.380409086237,280059720,2848000000,2384000000,866505700,248000000,3420089.0,34.6795285694436,5557000000.0,22223000000.0,3790000000.0,605.374301675978,273.8391868875,12.0503904569611,5.88430721125659,151739157976.82
